                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.1147,                0.87512,                 1.1288,                0.32096,                0.17647,                0.11732,                0.04226,                 2.6185,                 2.4961,                 1.7831,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.1436,                0.89022,                 1.1262,                 0.3377,                0.12605,                0.08597,                0.03504,                 2.6235,                 2.5921,                 1.8501,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1609,                0.87308,                 1.1327,                0.30602,                0.12605,                0.09036,                0.04001,                 2.5628,                 2.5826,                 1.7927,               0.000812,               0.000812,               0.000812
                    122,                 1.1525,                0.85077,                 1.1305,                0.13746,                0.15966,                0.06079,                 0.0233,                 2.7137,                 2.7209,                 1.9053,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.1825,                0.88348,                 1.1481,                0.23083,                0.15126,                  0.101,                0.04252,                 2.5384,                 2.4788,                 1.7605,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.1781,                0.86803,                 1.1487,                0.16996,                0.10924,                0.05636,                  0.022,                 2.6338,                 2.7788,                 1.8387,              0.0007823,              0.0007823,              0.0007823
                    125,                  1.095,                0.83485,                  1.104,                0.25236,                0.11765,                0.08012,                0.02852,                 2.5593,                 2.6784,                 1.7881,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.1293,                0.87622,                 1.1184,                0.19982,                0.11765,                0.06672,                0.02438,                 2.6564,                 2.6617,                 1.7935,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1183,                0.86466,                 1.1196,                0.16395,                0.10924,                0.06143,                0.02146,                 2.6292,                 2.6063,                 1.8259,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.1333,                0.85762,                 1.1154,                0.14043,                0.14286,                0.06881,                0.02583,                  2.539,                 2.6991,                 1.6926,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.1062,                0.82546,                  1.107,                 0.2116,                0.15966,                0.09214,                0.03594,                 2.6327,                 2.4837,                 1.8195,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.1218,                0.85322,                 1.1161,                0.16938,                0.10084,                0.05064,                0.02267,                 2.6235,                 2.6153,                 1.8051,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.1196,                 0.8451,                 1.1183,                0.30359,                0.15966,                0.09987,                0.03109,                  2.559,                 2.5525,                 1.7211,               0.000713,               0.000713,               0.000713
                    132,                 1.1312,                0.84167,                 1.1143,                0.17586,                0.15966,                0.09414,                 0.0355,                 2.5073,                 2.4228,                 1.7162,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.1574,                0.85501,                 1.1136,                0.22486,                0.14286,                0.09463,                0.02966,                 2.6366,                 2.6104,                 1.7982,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.1125,                0.84254,                 1.1197,                 0.2002,                0.20168,                0.10443,                0.03615,                 2.6236,                 2.4317,                 1.7867,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.1067,                0.82673,                 1.1074,                0.27251,                0.17647,                0.10002,                0.03532,                 2.5708,                 2.5252,                 1.7874,              0.0006734,              0.0006734,              0.0006734
